"","date","state","net_approval","fips","cases","deaths","death_rate","delta_cases_date","delta_cases","cases_rate_percent_change","delta_death_date","delta_death","Death_rate_percent_change","delta_date","delta_approval_rate","approval_rate_percent_change"
"2535",2020-03-06,"utah",0.0767695582756786,49,3,0,0,1,2,0.666666666666667,1,0,NA,1,-0.000532197977647586,-0.00693240901213043
"2536",2020-03-07,"utah",0.0774348057477381,49,3,0,0,1,0,0,1,0,NA,1,0.000665247472059594,0.00859106529209606
"2537",2020-03-08,"utah",0.0778339542309739,49,3,0,0,1,0,0,1,0,NA,1,0.000399148483235745,0.00512820512820489
"2538",2020-03-09,"utah",0.0784992017030336,49,3,0,0,1,0,0,1,0,NA,1,0.000665247472059705,0.00847457627118769
"2539",2020-03-10,"utah",0.0791749833666002,49,4,0,0,1,1,0.25,1,0,NA,1,0.000675781663566577,0.00853529277597113
"2540",2020-03-11,"utah",0.0796966471527408,49,5,0,0,1,1,0.2,1,0,NA,1,0.000521663786140603,0.00654561772392783
"2541",2020-03-12,"utah",0.081160191591272,49,7,0,0,1,2,0.285714285714286,1,0,NA,1,0.00146354443853125,0.0180327868852473
"2542",2020-03-13,"utah",0.0824797126513238,49,7,0,0,1,0,0,1,0,NA,1,0.00131952106005179,0.0159981287232408
"2543",2020-03-14,"utah",0.0838323353293413,49,21,0,0,1,14,0.666666666666667,1,0,NA,1,0.0013526226780175,0.0161348562306373
"2544",2020-03-15,"utah",0.0852960745176313,49,29,0,0,1,8,0.275862068965517,1,0,NA,1,0.00146373918829001,0.0171606864274563
"2545",2020-03-16,"utah",0.0866152208621607,49,40,0,0,1,11,0.275,1,0,NA,1,0.0013191463445294,0.0152299599469784
"2546",2020-03-17,"utah",0.0871474188398085,49,51,0,0,1,11,0.215686274509804,1,0,NA,1,0.000532197977647753,0.0061068702290084
"2547",2020-03-18,"utah",0.0878126663118681,49,65,0,0,1,14,0.215384615384615,1,0,NA,1,0.000665247472059594,0.00757575757575743
"2548",2020-03-19,"utah",0.0883448642895158,49,80,0,0,1,15,0.1875,1,0,NA,1,0.000532197977647697,0.0060240963855423
"2549",2020-03-20,"utah",0.0888652387920713,49,112,0,0,1,32,0.285714285714286,1,0,NA,1,0.000520374502555487,0.00585577116124192
"2550",2020-03-21,"utah",0.0895423097392231,49,138,0,0,1,26,0.188405797101449,1,0,NA,1,0.000677070947151803,0.00756146395065817
"2551",2020-03-22,"utah",0.0883448642895158,49,182,1,0.549450549450549,1,44,0.241758241758242,1,1,1,1,-0.00119744544970724,-0.0135542168674692
"2552",2020-03-23,"utah",0.0871474188398085,49,257,1,0.389105058365759,1,75,0.291828793774319,1,0,0,1,-0.00119744544970735,-0.0137404580152678
"2553",2020-03-24,"utah",0.0859499733901011,49,298,1,0.335570469798658,1,41,0.13758389261745,1,0,0,1,-0.0011974454497074,-0.0139318885448929
"2554",2020-03-25,"utah",0.0847525279403938,49,346,1,0.289017341040462,1,48,0.138728323699422,1,0,0,1,-0.00119744544970724,-0.014128728414442
"2555",2020-03-26,"utah",0.0835662009314704,49,402,1,0.248756218905473,1,56,0.139303482587065,1,0,0,1,-0.00118632700892346,-0.014196253936401
"2556",2020-03-27,"utah",0.0816815218837301,49,480,2,0.416666666666667,1,78,0.1625,1,1,0.5,1,-0.00188467904774026,-0.0230735055404943
"2557",2020-03-28,"utah",0.0798296966471528,49,608,2,0.328947368421053,1,128,0.210526315789474,1,0,0,1,-0.00185182523657734,-0.0231971974635255
"2558",2020-03-29,"utah",0.0781000532197976,49,719,2,0.278164116828929,1,111,0.154381084840056,1,0,0,1,-0.00172964342735515,-0.0221465076661011
"2559",2020-03-30,"utah",0.076227218305175,49,806,4,0.496277915632754,1,87,0.107940446650124,1,2,0.5,1,-0.00187283491462265,-0.0245691100405208
"2560",2020-03-31,"utah",0.074374667376264,49,887,5,0.56369785794814,1,81,0.0913190529875987,1,1,0.2,1,-0.00185255092891096,-0.0249083591801337
"2561",2020-04-01,"utah",0.0737094199042044,49,1012,7,0.691699604743083,1,125,0.123517786561265,1,2,0.285714285714286,1,-0.000665247472059649,-0.00902527075812332
"2562",2020-04-02,"utah",0.0733102714209687,49,1074,7,0.651769087523277,1,62,0.0577281191806331,1,0,0,1,-0.00039914848323569,-0.00544464609800261
"2563",2020-04-03,"utah",0.072645023948909,49,1260,7,0.555555555555556,1,186,0.147619047619048,1,0,0,1,-0.000665247472059649,-0.00915750915750974
"2564",2020-04-04,"utah",0.0719797764768495,49,1428,8,0.560224089635854,1,168,0.117647058823529,1,1,0.125,1,-0.000665247472059538,-0.00924214417744821
"2565",2020-04-05,"utah",0.0714570858283433,49,1605,8,0.498442367601246,1,177,0.110280373831776,1,0,0,1,-0.000522690648506186,-0.00731474901959774
"2566",2020-04-06,"utah",0.0699933466400532,49,1675,13,0.776119402985075,1,70,0.0417910447761194,1,5,0.384615384615385,1,-0.00146373918829007,-0.0209125475285169
"2567",2020-04-07,"utah",0.0686535391165513,49,1752,13,0.742009132420091,1,77,0.0439497716894977,1,0,0,1,-0.00133980752350199,-0.0195154909818624
"2568",2020-04-08,"utah",0.0671899946780202,49,1875,13,0.693333333333333,1,123,0.0656,1,0,0,1,-0.00146354443853108,-0.0217821782178211
"2569",2020-04-09,"utah",0.0657264502394891,49,1980,13,0.656565656565657,1,105,0.053030303030303,1,0,0,1,-0.00146354443853108,-0.022267206477732
"2570",2020-04-10,"utah",0.0644045242847638,49,2103,17,0.808368996671422,1,123,0.0584878744650499,1,4,0.235294117647059,1,-0.00132192595472524,-0.0205253585738847
"2571",2020-04-11,"utah",0.0654603512506652,49,2206,18,0.815956482320943,1,103,0.0466908431550317,1,1,0.0555555555555556,1,0.00105582696590134,0.0161292590969807
"2572",2020-04-12,"utah",0.0666577967003725,49,2303,18,0.781589231437256,1,97,0.0421189752496743,1,0,0,1,0.00119744544970729,0.0179640718562874
"2573",2020-04-13,"utah",0.0678642714570858,49,2363,18,0.761743546339399,1,60,0.0253914515446466,1,0,0,1,0.00120647475671337,0.0177777603856882
"2574",2020-04-14,"utah",0.0690618762475051,49,2418,19,0.785773366418528,1,55,0.0227460711331679,1,1,0.0526315789473684,1,0.00119760479041925,0.017341040462429
"2575",2020-04-15,"utah",0.0702407875482239,49,2549,20,0.78462142016477,1,131,0.0513927030207925,1,1,0.05,1,0.00117891130071884,0.0167838565293628
"2576",2020-04-16,"utah",0.0673230441724321,49,2683,21,0.782705926202013,1,134,0.0499440924338427,1,1,0.0476190476190476,1,-0.00291774337579181,-0.0433394450838958
"2577",2020-04-17,"utah",0.0642629058009579,49,2813,23,0.817632420902951,1,130,0.0462140063988624,1,2,0.0869565217391304,1,-0.00306013837147417,-0.0476190476190474
"2578",2020-04-18,"utah",0.0612027674294838,49,2942,25,0.849762066621346,1,129,0.0438477226376615,1,2,0.08,1,-0.00306013837147417,-0.0499999999999998
"2579",2020-04-19,"utah",0.0581348942397233,49,3071,27,0.879192445457506,1,129,0.0420058612829697,1,2,0.0740740740740741,1,-0.00306787318976043,-0.0527716310467486
"2580",2020-04-20,"utah",0.0552155401809473,49,3213,28,0.871459694989107,1,142,0.0441954559601618,1,1,0.0357142857142857,1,-0.00291935405877608,-0.0528719641102676
"2581",2020-04-21,"utah",0.0556146886641831,49,3301,32,0.969403211148137,1,88,0.0266585883065738,1,4,0.125,1,0.000399148483235856,0.00717703349282462
"2582",2020-04-22,"utah",0.0560138371474189,49,3451,34,0.985221674876847,1,150,0.0434656621269197,1,2,0.0588235294117647,1,0.000399148483235745,0.00712589073634171
"2583",2020-04-23,"utah",0.0564204923486361,49,3621,35,0.966583816625242,1,170,0.0469483568075117,1,1,0.0285714285714286,1,0.000406655201217188,0.00720757980459237
"2584",2020-04-24,"utah",0.0568196939454425,49,3782,39,1.03120042305658,1,161,0.0425700687466949,1,4,0.102564102564103,1,0.000399201596806398,0.00702576112412197
"2585",2020-04-25,"utah",0.0572188955422489,49,3950,41,1.0379746835443,1,168,0.0425316455696203,1,2,0.0487804878048781,1,0.000399201596806453,0.00697674418604766
"2586",2020-04-26,"utah",0.0572188955422489,49,4123,41,0.994421537715256,1,173,0.0419597380548145,1,0,0,1,0,0
"2587",2020-04-27,"utah",0.0572188955422489,49,4236,41,0.967894239848914,1,113,0.0266761095372993,1,0,0,1,0,0
"2588",2020-04-28,"utah",0.0572188955422489,49,4343,45,1.03615012664057,1,107,0.0246373474556758,1,4,0.0888888888888889,1,0,0
"2589",2020-04-29,"utah",0.0572188955422489,49,4499,45,1.00022227161591,1,156,0.034674372082685,1,0,0,1,0,0
"2590",2020-03-07,"vermont",-0.415117667121419,50,1,0,0,NA,NA,NA,NA,NA,NA,-53,-0.472336562663668,-0.0214686372615621
"2591",2020-03-08,"vermont",-0.414733969986357,50,1,0,0,1,0,0,1,0,NA,1,0.000383697135061367,-0.000925164473684152
"2592",2020-03-09,"vermont",-0.414307639836289,50,1,0,0,1,0,0,1,0,NA,1,0.000426330150068266,-0.00102901831652616
"2593",2020-03-10,"vermont",-0.4138989554466,50,1,0,0,1,0,0,1,0,NA,1,0.000408684389689273,-0.000987401355599702
"2594",2020-03-11,"vermont",-0.413515241952675,50,2,0,0,1,1,0.5,1,0,NA,1,0.000383713493924576,-0.000927930714506745
"2595",2020-03-12,"vermont",-0.411895118311661,50,2,0,0,1,0,0,1,0,NA,1,0.00162012364101466,-0.00393334023393011
"2596",2020-03-13,"vermont",-0.410300136425648,50,2,0,0,1,0,0,1,0,NA,1,0.00159498188601265,-0.00388735402309982
"2597",2020-03-14,"vermont",-0.408722714870396,50,5,0,0,1,3,0.6,1,0,NA,1,0.00157742155525248,-0.00385939292792345
"2598",2020-03-15,"vermont",-0.407162651886591,50,8,0,0,1,3,0.375,1,0,NA,1,0.00156006298380407,-0.00383154735969889
"2599",2020-03-16,"vermont",-0.405567871759891,50,12,0,0,1,4,0.333333333333333,1,0,NA,1,0.0015947801267005,-0.00393221514263502
"2600",2020-03-17,"vermont",-0.404945640588361,50,14,0,0,1,2,0.142857142857143,1,0,NA,1,0.000622231171530208,-0.00153657950392093
"2601",2020-03-18,"vermont",-0.404331514324693,50,19,0,0,1,5,0.263157894736842,1,0,NA,1,0.000614126263667747,-0.00151886816117574
